State_Name,Year,Month,Day_of_Week,Time_of_Day,Accident_Severity,Number_of_Vehicles_Involved,Vehicle_Type_Involved,Number_of_Casualties,Number_of_Fatalities,Weather_Conditions,Road_Type,Road_Condition,Lighting_Conditions,Traffic_Control_Presence,Speed_Limit ,Driver_Age,Driver_Gender,Driver_License_Status,Alcohol_Involvement,Accident_Location_Details,Age_group
Assam,2023,January,Tuesday,23:45,Fatal,1,Cycle,6,1,Clear,National Highway,Dry,Dawn,Signs,118,32,Male,Expired,Yes,Bridge,30-50
Jammu and Kashmir,2021,October,Monday,11:52,Fatal,4,Car,0,3,Hazy,Urban Road,Wet,Dark,Signals,53,22,Male,Expired,Yes,Curve,21-30
Mizoram,2023,June,Thursday,08:19,Minor,4,Two-Wheeler,5,1,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,72,65,Female,Valid,Yes,Curve,60-70
Maharashtra,2021,December,Monday,21:47,Serious,3,Two-Wheeler,10,1,Rainy,Urban Road,Wet,Dark,Police Checkpost,100,70,Male,Expired,Yes,Curve,71-80
Punjab,2019,February,Friday,18:20,Minor,1,Two-Wheeler,6,0,Clear,National Highway,Under Construction,Dusk,Police Checkpost,120,64,Female,Expired,Yes,Intersection,60-70
West Bengal,2022,May,Sunday,15:52,Fatal,1,Pedestrian,10,3,Hazy,State Highway,Wet,Dawn,Signs,111,47,Female,Expired,Yes,Bridge,30-50
Uttar Pradesh,2020,October,Saturday,12:43,Minor,3,Truck,5,0,Foggy,State Highway,Under Construction,Dark,Police Checkpost,105,49,Male,Expired,No,Intersection,30-50
Andhra Pradesh,2022,October,Friday,05:05,Minor,4,Auto-Rickshaw,1,5,Rainy,National Highway,Under Construction,Dusk,Signs,33,26,Male,Expired,Yes,Bridge,21-30
Chhattisgarh,2022,September,Friday,17:58,Minor,3,Pedestrian,8,4,Rainy,Village Road,Under Construction,Dark,Signals,67,35,Male,Valid,No,Intersection,30-50
Jharkhand,2022,March,Friday,11:58,Serious,4,Cycle,10,5,Rainy,National Highway,Under Construction,Daylight,Signals,84,56,Female,Expired,No,Curve,50-60
Sikkim,2019,September,Wednesday,12:57,Fatal,2,Car,10,3,Rainy,National Highway,Wet,Daylight,Signals,41,34,Female,Expired,Yes,Intersection,30-50
West Bengal,2020,February,Tuesday,10:34,Fatal,2,Truck,5,1,Rainy,National Highway,Wet,Dawn,Police Checkpost,108,68,Male,Expired,Yes,Bridge,60-70
West Bengal,2020,January,Saturday,03:34,Serious,2,Truck,0,3,Hazy,Village Road,Under Construction,Dawn,Police Checkpost,48,27,Female,Valid,Yes,Curve,21-30
Tripura,2019,August,Thursday,23:56,Minor,5,Truck,9,4,Foggy,National Highway,Dry,Dusk,Police Checkpost,73,19,Male,Valid,No,Curve,18-21
Puducherry,2019,October,Wednesday,11:48,Fatal,2,Two-Wheeler,10,5,Clear,State Highway,Dry,Daylight,Police Checkpost,60,70,Female,Valid,No,Bridge,71-80
Sikkim,2018,July,Friday,11:10,Fatal,5,Auto-Rickshaw,4,5,Foggy,Village Road,Dry,Daylight,Signs,86,27,Female,Valid,No,Bridge,21-30
Andhra Pradesh,2023,July,Sunday,16:34,Serious,3,Truck,10,3,Hazy,State Highway,Dry,Dark,Signals,40,27,Male,Expired,Yes,Curve,21-30
Andhra Pradesh,2018,December,Thursday,10:38,Minor,1,Car,2,5,Clear,State Highway,Damaged,Dark,Signals,88,41,Female,Expired,Yes,Intersection,30-50
Meghalaya,2023,June,Wednesday,02:16,Fatal,3,Car,6,0,Rainy,Urban Road,Wet,Daylight,Police Checkpost,106,29,Female,Expired,No,Curve,21-30
Nagaland,2023,March,Monday,02:41,Fatal,1,Pedestrian,5,1,Foggy,State Highway,Dry,Dark,Signs,74,40,Female,Valid,Yes,Straight Road,30-50
Meghalaya,2023,March,Monday,07:38,Serious,4,Pedestrian,2,5,Stormy,State Highway,Wet,Dark,Signs,83,59,Female,Expired,No,Bridge,50-60
Karnataka,2023,June,Friday,04:36,Fatal,4,Two-Wheeler,6,2,Clear,Urban Road,Damaged,Dusk,Signs,113,37,Female,Expired,Yes,Intersection,30-50
Gujarat,2018,January,Saturday,23:43,Fatal,4,Bus,0,4,Foggy,National Highway,Under Construction,Dawn,Signals,101,28,Female,Valid,Yes,Straight Road,21-30
Gujarat,2019,March,Monday,02:41,Fatal,1,Bus,10,1,Stormy,Village Road,Under Construction,Dusk,Police Checkpost,89,51,Female,Expired,No,Straight Road,50-60
Meghalaya,2023,May,Monday,11:33,Minor,5,Two-Wheeler,4,5,Rainy,Urban Road,Under Construction,Dusk,Signals,30,34,Male,Valid,No,Intersection,30-50
Andhra Pradesh,2021,November,Saturday,04:53,Fatal,5,Two-Wheeler,1,5,Rainy,Urban Road,Wet,Dawn,Police Checkpost,33,66,Male,Valid,Yes,Curve,60-70
Punjab,2019,February,Friday,01:39,Fatal,4,Two-Wheeler,6,4,Rainy,State Highway,Dry,Dusk,Police Checkpost,112,62,Female,Expired,Yes,Straight Road,60-70
Uttar Pradesh,2019,February,Monday,21:20,Minor,5,Pedestrian,3,4,Stormy,Village Road,Damaged,Dusk,Police Checkpost,65,21,Female,Expired,Yes,Intersection,21-30
Rajasthan,2023,July,Friday,11:38,Minor,3,Car,0,4,Clear,State Highway,Dry,Dark,Signals,32,25,Male,Expired,Yes,Straight Road,21-30
Assam,2023,October,Monday,10:13,Fatal,1,Cycle,5,1,Hazy,State Highway,Wet,Dusk,Signs,57,53,Female,Valid,No,Straight Road,50-60
Karnataka,2022,January,Tuesday,02:08,Fatal,1,Auto-Rickshaw,10,4,Stormy,National Highway,Wet,Dawn,Signs,47,34,Female,Expired,No,Bridge,30-50
Madhya Pradesh,2023,September,Thursday,18:08,Serious,1,Auto-Rickshaw,5,0,Rainy,National Highway,Under Construction,Dawn,Police Checkpost,115,20,Male,Expired,Yes,Bridge,18-21
Uttar Pradesh,2019,February,Monday,11:49,Minor,1,Cycle,9,0,Hazy,National Highway,Under Construction,Dusk,Signs,105,61,Female,Valid,No,Intersection,60-70
Puducherry,2022,August,Wednesday,21:37,Serious,3,Pedestrian,1,1,Rainy,Village Road,Dry,Daylight,Police Checkpost,105,23,Female,Expired,No,Straight Road,21-30
Rajasthan,2022,February,Friday,21:55,Fatal,3,Truck,4,4,Hazy,Village Road,Wet,Dusk,Signals,39,39,Female,Expired,No,Curve,30-50
Tripura,2023,July,Thursday,07:25,Fatal,2,Pedestrian,0,1,Hazy,National Highway,Damaged,Daylight,Signs,95,66,Female,Expired,No,Straight Road,60-70
Madhya Pradesh,2019,December,Thursday,16:58,Fatal,3,Truck,4,3,Hazy,Village Road,Under Construction,Dusk,Signals,41,45,Male,Expired,No,Bridge,30-50
Maharashtra,2019,July,Tuesday,12:22,Serious,2,Bus,10,5,Hazy,State Highway,Dry,Daylight,Signs,111,60,Female,Expired,No,Bridge,60-70
Delhi,2022,December,Friday,10:59,Serious,2,Two-Wheeler,6,0,Stormy,State Highway,Wet,Dark,Signals,43,37,Female,Expired,Yes,Curve,30-50
Manipur,2019,February,Sunday,11:27,Fatal,3,Cycle,3,0,Rainy,Village Road,Under Construction,Daylight,Signs,108,24,Female,Expired,Yes,Curve,21-30
Jammu and Kashmir,2020,April,Friday,06:31,Fatal,1,Bus,2,0,Rainy,National Highway,Damaged,Dusk,Signals,70,19,Female,Valid,No,Intersection,18-21
West Bengal,2023,July,Wednesday,17:55,Fatal,4,Cycle,2,1,Hazy,Urban Road,Wet,Dusk,Signals,86,20,Female,Expired,Yes,Curve,18-21
Meghalaya,2022,January,Monday,23:55,Fatal,4,Truck,10,2,Stormy,National Highway,Wet,Daylight,Police Checkpost,57,34,Male,Expired,No,Straight Road,30-50
Manipur,2019,March,Friday,04:19,Fatal,3,Cycle,10,5,Stormy,Village Road,Dry,Daylight,Signals,49,63,Male,Valid,Yes,Bridge,60-70
Tripura,2023,March,Tuesday,02:43,Serious,1,Truck,6,5,Stormy,National Highway,Dry,Daylight,Signals,71,36,Male,Expired,No,Bridge,30-50
Assam,2022,October,Friday,04:39,Serious,4,Cycle,3,3,Hazy,Village Road,Dry,Dawn,Signs,80,47,Male,Expired,Yes,Straight Road,30-50
Manipur,2021,September,Monday,15:01,Minor,2,Auto-Rickshaw,10,2,Foggy,Urban Road,Under Construction,Daylight,Signals,60,23,Male,Valid,Yes,Bridge,21-30
Sikkim,2020,February,Monday,20:27,Serious,2,Truck,7,0,Foggy,State Highway,Dry,Dawn,Signals,54,57,Male,Valid,No,Straight Road,50-60
Bihar,2019,September,Monday,03:23,Serious,5,Bus,10,1,Foggy,Urban Road,Damaged,Dawn,Signals,48,25,Female,Valid,Yes,Intersection,21-30
Sikkim,2018,November,Wednesday,21:33,Fatal,2,Bus,4,0,Clear,Village Road,Under Construction,Dark,Signs,93,32,Male,Valid,Yes,Curve,30-50
Sikkim,2020,January,Monday,02:56,Serious,2,Pedestrian,4,4,Hazy,National Highway,Dry,Dusk,Police Checkpost,63,63,Male,Valid,No,Intersection,60-70
Kerala,2022,July,Sunday,09:27,Minor,3,Cycle,8,1,Clear,Urban Road,Wet,Dusk,Signs,96,25,Female,Valid,Yes,Bridge,21-30
Kerala,2019,May,Sunday,22:18,Fatal,1,Pedestrian,10,2,Foggy,National Highway,Under Construction,Dark,Signs,60,56,Male,Valid,Yes,Bridge,50-60
Gujarat,2021,January,Friday,07:24,Serious,2,Auto-Rickshaw,4,5,Rainy,State Highway,Wet,Dusk,Signs,94,48,Female,Expired,Yes,Curve,30-50
Bihar,2022,September,Tuesday,23:09,Fatal,1,Pedestrian,10,4,Hazy,State Highway,Under Construction,Dark,Police Checkpost,57,56,Female,Valid,Yes,Curve,50-60
Rajasthan,2019,January,Tuesday,08:08,Minor,5,Pedestrian,1,3,Clear,Urban Road,Dry,Daylight,Police Checkpost,35,30,Male,Valid,Yes,Intersection,30-50
Jammu and Kashmir,2019,October,Thursday,19:16,Minor,2,Pedestrian,9,5,Clear,National Highway,Wet,Dawn,Police Checkpost,35,61,Male,Expired,No,Bridge,60-70
Rajasthan,2020,December,Monday,01:15,Minor,5,Two-Wheeler,2,4,Clear,State Highway,Under Construction,Dusk,Signs,74,26,Male,Expired,No,Curve,21-30
Uttar Pradesh,2022,February,Sunday,23:41,Serious,4,Truck,3,4,Foggy,Village Road,Damaged,Dawn,Police Checkpost,35,44,Female,Expired,Yes,Curve,30-50
Tamil Nadu,2020,July,Thursday,16:30,Fatal,3,Auto-Rickshaw,6,1,Foggy,State Highway,Dry,Dark,Signs,119,63,Male,Valid,No,Bridge,60-70
Sikkim,2020,July,Tuesday,16:20,Serious,5,Pedestrian,7,5,Stormy,National Highway,Wet,Daylight,Police Checkpost,111,63,Female,Expired,No,Curve,60-70
Uttar Pradesh,2020,November,Wednesday,18:31,Minor,4,Auto-Rickshaw,1,0,Rainy,State Highway,Dry,Daylight,Police Checkpost,77,19,Male,Expired,Yes,Intersection,18-21
West Bengal,2023,April,Sunday,13:02,Serious,1,Bus,10,3,Rainy,Village Road,Damaged,Dusk,Signals,79,45,Female,Expired,No,Intersection,30-50
Nagaland,2023,October,Tuesday,13:25,Fatal,4,Auto-Rickshaw,9,5,Stormy,Urban Road,Dry,Dark,Police Checkpost,106,31,Male,Expired,Yes,Straight Road,30-50
Bihar,2023,January,Sunday,06:01,Minor,4,Bus,6,3,Rainy,Village Road,Dry,Dusk,Signals,107,53,Male,Valid,No,Bridge,50-60
Telangana,2021,September,Sunday,03:21,Serious,5,Cycle,0,2,Rainy,Urban Road,Wet,Dawn,Police Checkpost,49,36,Male,Expired,No,Bridge,30-50
Nagaland,2020,June,Saturday,03:47,Minor,1,Truck,7,3,Stormy,Urban Road,Dry,Dawn,Signals,37,24,Female,Valid,No,Bridge,21-30
Tamil Nadu,2023,August,Sunday,02:37,Fatal,5,Car,9,0,Foggy,Urban Road,Dry,Dawn,Signals,64,66,Female,Expired,No,Bridge,60-70
Gujarat,2019,February,Monday,03:02,Serious,5,Auto-Rickshaw,0,0,Hazy,National Highway,Under Construction,Dusk,Signals,40,55,Female,Valid,Yes,Intersection,50-60
Puducherry,2018,June,Thursday,03:10,Fatal,5,Auto-Rickshaw,5,0,Foggy,Urban Road,Damaged,Daylight,Signals,75,38,Female,Valid,Yes,Curve,30-50
Rajasthan,2022,November,Friday,12:52,Fatal,3,Car,10,0,Hazy,Urban Road,Dry,Dusk,Signs,34,67,Male,Valid,No,Intersection,60-70
Chhattisgarh,2020,September,Tuesday,18:34,Fatal,1,Cycle,1,3,Rainy,State Highway,Under Construction,Daylight,Signals,94,53,Female,Expired,Yes,Straight Road,50-60
Maharashtra,2022,March,Friday,19:43,Serious,1,Cycle,5,5,Foggy,State Highway,Damaged,Daylight,Signals,49,27,Female,Valid,No,Bridge,21-30
Uttarakhand,2020,June,Wednesday,04:56,Serious,3,Car,3,4,Stormy,Village Road,Damaged,Daylight,Signs,49,32,Male,Valid,No,Curve,30-50
Assam,2020,January,Saturday,18:33,Serious,4,Cycle,5,1,Stormy,State Highway,Wet,Dark,Police Checkpost,106,58,Male,Valid,No,Curve,50-60
Goa,2022,April,Friday,23:30,Fatal,1,Bus,8,0,Foggy,Village Road,Wet,Dusk,Signs,56,54,Male,Expired,No,Intersection,50-60
Assam,2022,September,Monday,06:01,Serious,2,Cycle,4,1,Stormy,State Highway,Dry,Dark,Signals,102,23,Male,Expired,No,Bridge,21-30
Haryana,2022,September,Friday,21:24,Fatal,3,Car,0,3,Clear,Village Road,Under Construction,Dusk,Police Checkpost,79,54,Male,Expired,No,Bridge,50-60
Madhya Pradesh,2022,July,Sunday,14:16,Serious,3,Bus,9,1,Clear,Village Road,Wet,Dawn,Signals,77,41,Female,Valid,Yes,Intersection,30-50
Punjab,2021,June,Wednesday,00:34,Serious,4,Cycle,5,4,Foggy,Urban Road,Wet,Daylight,Signs,116,66,Male,Valid,No,Curve,60-70
Sikkim,2018,March,Monday,02:51,Serious,1,Auto-Rickshaw,0,5,Foggy,State Highway,Dry,Dawn,Police Checkpost,100,60,Male,Valid,Yes,Intersection,60-70
Haryana,2019,September,Thursday,17:16,Minor,1,Pedestrian,3,5,Stormy,Village Road,Wet,Dusk,Police Checkpost,53,36,Male,Expired,No,Bridge,30-50
Uttarakhand,2018,September,Saturday,04:00,Minor,1,Pedestrian,10,3,Foggy,State Highway,Damaged,Dawn,Signs,70,28,Male,Expired,No,Intersection,21-30
Uttarakhand,2018,July,Saturday,15:56,Serious,2,Two-Wheeler,5,5,Stormy,National Highway,Under Construction,Daylight,Signals,45,44,Female,Expired,No,Intersection,30-50
Punjab,2022,September,Thursday,04:24,Fatal,3,Truck,8,1,Stormy,Village Road,Wet,Dusk,Signs,105,35,Female,Expired,Yes,Bridge,30-50
Tamil Nadu,2023,December,Sunday,20:25,Serious,2,Car,3,0,Rainy,Village Road,Damaged,Dawn,Signals,82,67,Female,Valid,No,Straight Road,60-70
Manipur,2019,August,Friday,15:47,Serious,1,Car,6,3,Clear,Urban Road,Under Construction,Dusk,Signs,57,37,Female,Expired,No,Bridge,30-50
Manipur,2019,February,Saturday,10:26,Fatal,1,Auto-Rickshaw,4,0,Rainy,Village Road,Under Construction,Dark,Signs,37,39,Male,Valid,Yes,Straight Road,30-50
Telangana,2021,August,Saturday,09:33,Fatal,2,Pedestrian,10,3,Hazy,State Highway,Under Construction,Dusk,Signals,84,40,Male,Valid,Yes,Intersection,30-50
Tamil Nadu,2022,June,Saturday,19:22,Serious,4,Pedestrian,2,0,Foggy,State Highway,Dry,Daylight,Signs,119,62,Female,Expired,No,Intersection,60-70
Haryana,2019,February,Tuesday,19:59,Serious,3,Bus,1,2,Hazy,National Highway,Dry,Dark,Signs,96,59,Female,Valid,No,Bridge,50-60
Chhattisgarh,2021,July,Sunday,02:53,Minor,2,Auto-Rickshaw,2,5,Clear,Urban Road,Dry,Dawn,Police Checkpost,108,56,Female,Expired,Yes,Bridge,50-60
Delhi,2018,April,Wednesday,06:02,Serious,3,Cycle,3,0,Stormy,Village Road,Wet,Daylight,Signs,61,63,Female,Expired,Yes,Straight Road,60-70
Puducherry,2023,March,Wednesday,15:21,Serious,1,Truck,5,1,Clear,Urban Road,Wet,Daylight,Signs,54,32,Female,Expired,No,Intersection,30-50
Assam,2021,June,Tuesday,08:07,Minor,4,Two-Wheeler,4,3,Stormy,National Highway,Wet,Dusk,Signals,87,50,Female,Valid,No,Curve,50-60
Nagaland,2022,December,Thursday,01:48,Minor,5,Truck,10,3,Foggy,Village Road,Under Construction,Dawn,Signals,58,51,Male,Valid,Yes,Curve,50-60
Delhi,2019,September,Tuesday,17:14,Minor,3,Truck,7,5,Foggy,Urban Road,Dry,Dusk,Police Checkpost,50,32,Female,Valid,No,Straight Road,30-50
Assam,2020,December,Sunday,08:21,Fatal,5,Pedestrian,8,1,Hazy,National Highway,Under Construction,Dusk,Signs,51,55,Male,Valid,No,Intersection,50-60
Karnataka,2022,October,Monday,03:13,Fatal,3,Cycle,0,1,Stormy,National Highway,Damaged,Dusk,Signals,58,55,Male,Valid,Yes,Bridge,50-60
Chandigarh,2023,March,Saturday,08:19,Serious,4,Auto-Rickshaw,6,0,Hazy,National Highway,Under Construction,Dusk,Police Checkpost,56,38,Female,Expired,Yes,Straight Road,30-50
Rajasthan,2019,July,Saturday,11:14,Fatal,1,Car,5,1,Stormy,National Highway,Wet,Dark,Police Checkpost,71,59,Female,Expired,No,Straight Road,50-60
Uttar Pradesh,2018,April,Thursday,23:33,Fatal,2,Pedestrian,9,2,Rainy,National Highway,Wet,Dark,Signs,79,35,Female,Valid,No,Straight Road,30-50
Sikkim,2022,July,Wednesday,22:20,Fatal,4,Bus,6,0,Hazy,State Highway,Wet,Dawn,Police Checkpost,37,23,Male,Valid,No,Curve,21-30
Rajasthan,2022,November,Sunday,00:51,Serious,4,Pedestrian,1,2,Clear,Village Road,Under Construction,Dusk,Police Checkpost,115,64,Female,Expired,Yes,Straight Road,60-70
Karnataka,2023,December,Saturday,15:23,Minor,4,Pedestrian,2,1,Foggy,Urban Road,Damaged,Daylight,Police Checkpost,69,70,Female,Expired,No,Bridge,71-80
Uttarakhand,2019,February,Friday,08:08,Fatal,4,Auto-Rickshaw,7,1,Rainy,National Highway,Damaged,Daylight,Police Checkpost,104,35,Male,Expired,Yes,Straight Road,30-50
Rajasthan,2020,December,Wednesday,21:46,Serious,5,Truck,2,0,Foggy,Village Road,Wet,Dusk,Police Checkpost,33,48,Male,Valid,Yes,Curve,30-50
Gujarat,2022,November,Friday,19:57,Serious,3,Two-Wheeler,7,3,Hazy,State Highway,Under Construction,Dusk,Police Checkpost,107,27,Female,Expired,Yes,Straight Road,21-30
Jammu and Kashmir,2021,April,Wednesday,02:34,Minor,2,Pedestrian,6,2,Hazy,State Highway,Under Construction,Dawn,Signs,88,23,Female,Valid,Yes,Curve,21-30
Jammu and Kashmir,2019,October,Wednesday,06:29,Minor,1,Pedestrian,9,3,Hazy,Village Road,Wet,Dusk,Signals,65,47,Female,Valid,Yes,Straight Road,30-50
Himachal Pradesh,2018,April,Friday,01:25,Minor,2,Car,6,2,Rainy,National Highway,Dry,Dusk,Police Checkpost,30,33,Male,Expired,No,Intersection,30-50
Tripura,2018,June,Friday,20:28,Minor,5,Car,3,5,Stormy,Village Road,Damaged,Dawn,Signs,105,56,Male,Expired,No,Intersection,50-60
Jammu and Kashmir,2021,April,Thursday,04:55,Fatal,1,Two-Wheeler,5,0,Clear,Urban Road,Dry,Daylight,Signs,85,49,Male,Valid,Yes,Bridge,30-50
Goa,2023,February,Saturday,15:38,Serious,1,Pedestrian,5,4,Clear,Urban Road,Damaged,Dark,Signals,59,39,Male,Expired,No,Intersection,30-50
Telangana,2020,May,Monday,07:02,Serious,3,Bus,0,5,Hazy,State Highway,Dry,Dusk,Police Checkpost,50,38,Female,Valid,Yes,Curve,30-50
Madhya Pradesh,2018,March,Friday,13:34,Serious,4,Two-Wheeler,9,1,Stormy,Village Road,Dry,Dusk,Signals,111,52,Female,Expired,Yes,Straight Road,50-60
Jharkhand,2020,October,Wednesday,06:29,Serious,5,Truck,10,0,Stormy,Village Road,Wet,Dusk,Signals,35,21,Male,Valid,No,Straight Road,21-30
Uttarakhand,2023,April,Saturday,02:07,Fatal,2,Pedestrian,7,3,Clear,State Highway,Dry,Dusk,Signs,44,20,Male,Valid,No,Bridge,18-21
Himachal Pradesh,2022,May,Thursday,19:28,Fatal,1,Pedestrian,5,2,Stormy,National Highway,Wet,Daylight,Signals,65,30,Female,Valid,Yes,Bridge,30-50
Karnataka,2020,February,Thursday,19:57,Serious,5,Truck,4,4,Stormy,Village Road,Dry,Dusk,Police Checkpost,95,40,Male,Valid,Yes,Intersection,30-50
Maharashtra,2022,February,Saturday,12:06,Serious,2,Two-Wheeler,6,4,Clear,Urban Road,Dry,Dawn,Police Checkpost,71,52,Male,Valid,Yes,Bridge,50-60
Jharkhand,2019,December,Wednesday,10:34,Minor,5,Truck,3,1,Hazy,Urban Road,Wet,Dark,Signs,42,42,Female,Valid,Yes,Straight Road,30-50
Andhra Pradesh,2021,June,Tuesday,15:15,Serious,3,Cycle,2,0,Clear,National Highway,Under Construction,Dark,Signals,83,32,Female,Valid,No,Intersection,30-50
Tripura,2018,October,Sunday,19:28,Minor,5,Two-Wheeler,1,5,Rainy,National Highway,Dry,Dawn,Signs,76,47,Female,Valid,Yes,Straight Road,30-50
Uttarakhand,2022,April,Sunday,08:08,Fatal,5,Cycle,4,2,Clear,Village Road,Wet,Daylight,Signals,87,23,Male,Valid,Yes,Intersection,21-30
Odisha,2021,February,Monday,20:05,Minor,5,Truck,5,4,Stormy,Village Road,Dry,Dark,Signs,113,57,Male,Valid,Yes,Straight Road,50-60
Chandigarh,2020,September,Thursday,10:57,Fatal,2,Pedestrian,3,3,Foggy,Village Road,Wet,Dark,Signals,113,69,Male,Valid,No,Intersection,60-70
Karnataka,2018,January,Saturday,19:34,Serious,1,Two-Wheeler,0,2,Rainy,State Highway,Wet,Daylight,Signals,37,28,Male,Expired,Yes,Intersection,21-30
Kerala,2018,September,Tuesday,23:21,Minor,3,Truck,2,4,Stormy,National Highway,Dry,Dusk,Police Checkpost,71,39,Female,Expired,No,Intersection,30-50
Himachal Pradesh,2019,July,Thursday,22:25,Serious,4,Pedestrian,2,5,Foggy,Urban Road,Damaged,Dusk,Signs,48,18,Female,Expired,Yes,Curve,18-21
Chandigarh,2019,October,Wednesday,00:47,Fatal,3,Auto-Rickshaw,5,2,Stormy,State Highway,Dry,Dark,Signals,112,27,Female,Expired,No,Bridge,21-30
Punjab,2023,July,Tuesday,13:26,Fatal,5,Truck,10,0,Clear,National Highway,Wet,Dusk,Police Checkpost,34,59,Male,Expired,No,Straight Road,50-60
Mizoram,2019,September,Saturday,19:35,Fatal,3,Pedestrian,8,2,Foggy,Urban Road,Wet,Dusk,Signs,49,64,Male,Valid,Yes,Curve,60-70
Uttarakhand,2019,September,Saturday,05:24,Minor,3,Pedestrian,7,3,Clear,Village Road,Dry,Dawn,Signals,48,45,Male,Valid,No,Intersection,30-50
Uttar Pradesh,2023,October,Friday,07:31,Fatal,2,Pedestrian,10,4,Clear,Village Road,Damaged,Dusk,Signals,113,23,Female,Valid,No,Bridge,21-30
Gujarat,2018,February,Monday,10:59,Serious,3,Two-Wheeler,5,1,Clear,State Highway,Dry,Daylight,Police Checkpost,87,23,Male,Expired,Yes,Curve,21-30
Assam,2023,November,Wednesday,03:29,Serious,3,Bus,5,1,Clear,National Highway,Damaged,Dark,Signals,111,37,Female,Valid,No,Intersection,30-50
Telangana,2023,December,Tuesday,10:25,Serious,5,Auto-Rickshaw,7,3,Clear,Village Road,Dry,Dark,Signs,58,62,Male,Valid,No,Straight Road,60-70
Tamil Nadu,2023,January,Sunday,17:11,Minor,4,Bus,9,4,Stormy,Village Road,Dry,Daylight,Signals,70,66,Male,Valid,No,Bridge,60-70
Jammu and Kashmir,2021,June,Thursday,23:27,Serious,3,Pedestrian,0,5,Hazy,State Highway,Wet,Dawn,Signs,89,51,Female,Expired,Yes,Curve,50-60
Uttar Pradesh,2022,September,Thursday,20:23,Minor,3,Two-Wheeler,8,3,Rainy,State Highway,Damaged,Dawn,Signals,114,29,Female,Expired,Yes,Bridge,21-30
Goa,2022,July,Friday,08:10,Minor,3,Car,7,1,Stormy,Urban Road,Dry,Daylight,Police Checkpost,42,24,Female,Valid,No,Bridge,21-30
Rajasthan,2018,September,Saturday,20:47,Minor,1,Auto-Rickshaw,10,4,Stormy,State Highway,Dry,Dawn,Signs,43,45,Female,Valid,No,Curve,30-50
Kerala,2021,September,Saturday,21:12,Fatal,2,Pedestrian,1,3,Clear,Urban Road,Dry,Dusk,Police Checkpost,107,53,Female,Valid,Yes,Curve,50-60
Chhattisgarh,2022,December,Monday,10:48,Fatal,2,Truck,0,5,Foggy,Village Road,Dry,Dusk,Signs,66,68,Female,Valid,No,Intersection,60-70
Arunachal Pradesh,2023,October,Thursday,14:09,Fatal,1,Truck,2,1,Hazy,State Highway,Damaged,Dark,Signs,69,28,Male,Valid,No,Intersection,21-30
Manipur,2022,March,Monday,10:47,Serious,2,Car,5,4,Stormy,State Highway,Under Construction,Dawn,Signs,46,44,Male,Valid,Yes,Straight Road,30-50
Mizoram,2020,April,Friday,00:32,Serious,4,Auto-Rickshaw,2,5,Hazy,State Highway,Wet,Daylight,Signs,109,66,Male,Valid,Yes,Intersection,60-70
Haryana,2023,November,Friday,05:04,Minor,4,Auto-Rickshaw,9,0,Foggy,State Highway,Dry,Dawn,Signals,48,55,Male,Expired,Yes,Straight Road,50-60
Himachal Pradesh,2023,February,Friday,12:16,Minor,4,Car,5,0,Hazy,State Highway,Wet,Daylight,Signals,68,52,Male,Valid,Yes,Curve,50-60
Uttarakhand,2022,November,Thursday,12:15,Fatal,1,Bus,7,0,Clear,Urban Road,Dry,Dark,Signs,87,30,Male,Valid,Yes,Straight Road,30-50
Tamil Nadu,2022,May,Saturday,13:58,Fatal,3,Car,8,4,Clear,State Highway,Dry,Dark,Signs,109,37,Male,Expired,No,Bridge,30-50
Karnataka,2023,December,Monday,15:59,Fatal,1,Bus,7,5,Foggy,Village Road,Damaged,Dawn,Signals,59,61,Male,Valid,Yes,Curve,60-70
Rajasthan,2020,June,Saturday,14:31,Minor,1,Auto-Rickshaw,4,0,Foggy,Urban Road,Damaged,Daylight,Signals,119,44,Male,Expired,Yes,Straight Road,30-50
Madhya Pradesh,2020,December,Saturday,15:42,Minor,1,Pedestrian,9,1,Clear,State Highway,Under Construction,Dawn,Signs,38,67,Female,Valid,Yes,Straight Road,60-70
Jammu and Kashmir,2020,January,Monday,21:09,Minor,3,Truck,10,2,Stormy,Village Road,Under Construction,Dawn,Police Checkpost,90,56,Male,Expired,Yes,Straight Road,50-60
Nagaland,2020,March,Saturday,20:41,Fatal,2,Car,5,1,Clear,Urban Road,Wet,Dawn,Signs,117,34,Female,Valid,Yes,Intersection,30-50
Jammu and Kashmir,2019,August,Monday,04:54,Serious,3,Auto-Rickshaw,8,0,Stormy,Urban Road,Wet,Dark,Signs,112,21,Female,Valid,Yes,Intersection,21-30
Tripura,2018,March,Thursday,22:38,Serious,3,Pedestrian,10,3,Rainy,State Highway,Damaged,Dark,Signs,96,41,Male,Expired,Yes,Bridge,30-50
Tamil Nadu,2018,November,Saturday,01:42,Fatal,2,Truck,1,5,Foggy,State Highway,Wet,Dark,Police Checkpost,50,65,Male,Valid,Yes,Bridge,60-70
Madhya Pradesh,2019,December,Tuesday,06:32,Minor,5,Bus,1,2,Clear,National Highway,Damaged,Dawn,Police Checkpost,43,43,Female,Expired,No,Straight Road,30-50
Kerala,2021,September,Friday,05:43,Serious,5,Truck,4,3,Foggy,Urban Road,Wet,Dawn,Signals,34,53,Male,Expired,No,Straight Road,50-60
